Capital,Country,Population,Time_zone,Elevation
Amsterdam,The Netherland,2480394,UTC+1,-2
Rome,Italy,1459402,UTC+1,21
Paris,France,10858852,UTC+1,131
Madrid,Spain,6791667,UTC+1,650
Berlin,Germany,4473101,UTC+1,34
Lisbon,Portugal,2719000,UTC+1,2
